Province,City,LatLng
Batangas,Taysan,13.74194; 121.22306
Batangas,Tingloy,13.650; 120.867
Batangas,Tuy,14.017; 120.733
Benguet,Baguio City,16.42; 120.6
Benguet,Atok,16.58333; 120.7
Benguet,Bakun,16.7922; 120.6653
Benguet,Bokod,16.500; 120.833
Benguet,Buguias,16.72306; 120.82806
Benguet,Itogon,16.367; 120.683
Benguet,Kabayan,16.617; 121.850
